wavelength,flux
4347.104,5.293
4348.104,4.527
4349.107,6.449
4350.107,7.018
4351.11,4.635
4352.111,7.192
4353.113,4.31
4354.117,5.611
4355.118,6.173
4356.123,5.078
4357.125,6.162
4358.129,8.59
4359.132,9.94
4360.135,6.506
4361.14,8.039
4362.144,3.803
4363.149,6.959
4364.153,4.914
4365.159,6.495
4366.164,9.175
4367.168,8.299
4368.175,6.886
4369.18,6.91
4370.188,7.107
4371.193,7.176
4372.201,6.462
4373.207,5.099
4374.213,3.756
4375.221,3.208
4376.228,7.036
4377.237,5.237
4378.244,4.576
4379.253,5.678
4380.261,4.227
4381.269,2.513
4382.279,3.56
4383.287,4.146
4384.298,2.595
4385.307,1.406
4386.318,1.445
4387.327,2.508
4388.336,2.91
4389.348,3.137
4390.358,3.238
4391.37,5.917
4392.38,5.569
4393.394,3.563
4394.404,4.298
4395.415,5.491
4396.429,5.286
4397.44,5.079
4398.454,6.998
4399.466,5.672
4400.48,4.53
4401.493,7.085
4402.505,6.502
4403.521,5.562
4404.534,6.703
4405.549,6.979
4406.562,7.214
4407.579,7.749
4408.593,6.578
4409.607,6.012
4410.624,6.268
4411.639,7.654
4412.656,9.158
4413.671,6.137
4414.688,5.564
4415.704,5.811
4416.723,5.374
4417.739,3.903
4418.755,3.399
4419.774,3.798
4420.791,3.622
4421.81,3.616
4422.827,3.669
4423.847,3.668
4424.865,3.323
4425.883,2.655
4426.903,2.048
4427.922,4.149
4428.943,3.187
4429.962,3.802
4430.983,5.228
4432.002,4.497
4433.022,4.493
4434.044,4.955
4435.064,5.022
4436.087,7.253
4437.108,6.649
4438.131,6.779
4439.152,7.5
4440.173,7.173
4441.197,5.742
4442.219,7.579
4443.243,9.682
4444.265,9.268
4445.29,8.971
4446.312,9.453
4447.335,9.07
4448.361,7.631
4449.384,6.651
4450.411,8.68
4451.434,7.61
4452.461,7.624
4453.485,8.478
4454.51,8.486
4455.537,9.167
4456.562,9.211
4457.589,8.488
4458.615,6.962
4459.643,7.807
4460.669,8.255
4461.695,7.437
4462.724,9.85
4463.75,8.524
4464.78,7.095
4465.807,7.38
4466.837,7.65
4467.864,7.557
4468.892,8.216
4469.923,8.652
4470.951,8.18
4471.982,7.932
4473.011,8.298
4474.042,8.97
4475.072,9.116
4476.101,8.614
4477.133,9.698
4478.163,10.376
4479.196,9.19
4480.227,9.031
4481.259,8.206
4482.291,6.564
4483.321,8.72
4484.355,7.487
4485.387,10.136
4486.421,9.439
4487.454,7.755
4488.488,9.807
4489.521,9.019
4490.554,8.158
4491.589,10.416
4492.623,8.19
4493.658,6.916
4494.692,7.321
4495.729,7.512
4496.763,8.908
4497.8,8.124
4498.834,9.358
4499.87,10.268
4500.907,9.506
4501.942,8.221
4502.98,8.041
4504.017,9.183
4505.055,9.482
4506.091,9.873
4507.128,9.275
4508.167,6.027
4509.205,8.541
4510.245,8.888
4511.282,5.073
4512.322,6.951
4513.36,7.943
4514.398,8.806
4515.439,8.69
4516.479,8.434
4517.52,9.268
4518.559,8.288
4519.601,7.604
4520.641,7.968
4521.681,9.105
4522.724,9.769
4523.764,8.276
4524.807,4.499
4525.848,9.124
4526.892,8.668
4527.933,8.144
4528.975,8.458
4530.019,7.891
4531.061,6.967
4532.106,6.751
4533.149,7.439
4534.194,7.761
4535.237,7.242
4536.28,9.857
4537.327,9.785
4538.37,10.176
4539.417,8.859
4540.461,9.769
4541.508,9.192
4542.553,7.611
4543.598,6.4
4544.646,8.483
4545.691,8.621
4546.739,7.038
4547.785,9.007
4548.834,8.98
4549.88,7.575
4550.927,9.011
4551.977,8.918
4553.024,9.544
4554.074,7.217
4555.122,9.302
4556.172,10.942
4557.22,9.237
4558.269,9.026
4559.319,8.437
4560.368,9.521
4561.42,10.759
4562.469,9.723
4563.521,9.763
4564.571,9.095
4565.621,7.327
4566.674,8.046
4567.725,5.919
4568.778,8.456
4569.829,8.007
4570.883,7.18
4571.934,7.459
4572.989,7.853
4574.041,6.429
4575.093,5.805
4576.148,6.652
4577.201,7.97
4578.256,8.842
4579.309,8.57
4580.365,7.448
4581.419,7.37
4582.473,8.225
4583.53,8.945
4584.584,8.51
4585.641,8.897
4586.696,8.387
4587.754,8.523
4588.809,8.264
4589.865,9.025
4590.923,9.195
4591.979,8.562
4593.039,8.377
4594.095,8.516
4595.154,8.245
4596.211,8.338
4597.269,9.037
4598.329,8.975
4599.387,11.124
4600.447,9.708
4601.506,8.91
4602.567,8.52
4603.625,8.496
4604.685,9.814
4605.747,9.678
4606.806,7.792
4607.869,8.984
4608.929,7.922
4609.991,6.581
4611.052,9.017
4612.113,10.499
4613.176,9.227
4614.237,9.32
4615.301,9.174
4616.363,8.821
4617.428,9.239
4618.49,6.46
4619.552,8.567
4620.618,7.231
4621.681,7.841
4622.747,9.124
4623.81,9.735
4624.876,8.554
4625.94,9.335
4627.004,9.099
4628.071,8.101
4629.136,9.589
4630.203,7.203
4631.269,8.365
4632.336,9.539
4633.402,7.487
4634.468,7.649
4635.537,8.452
4636.603,7.212
4637.672,8.011
4638.739,8.011
4639.809,9.166
4640.876,10.743
4641.944,10.158
4643.014,10.625
4644.083,10.171
4645.153,8.969
4646.222,9.106
4647.293,7.355
4648.362,8.097
4649.432,10.615
4650.504,11.275
4651.574,8.723
4652.646,8.415
4653.717,7.108
4654.79,6.802
4655.861,8.416
4656.935,6.572
4658.006,8.223
4659.077,7.85
