wavelength,flux
4302.292,5.868
4303.284,3.88
4304.274,2.448
4305.267,1.384
4306.257,0.114
4307.25,-0.185
4308.241,3.113
4309.232,2.53
4310.226,2.833
4311.217,3.336
4312.211,1.342
4313.204,1.711
4314.198,4.476
4315.19,1.699
4316.184,2.561
4317.179,4.309
4318.172,2.011
4319.167,5.043
4320.161,4.158
4321.157,3.152
4322.151,2.484
4323.146,4.238
4324.143,4.533
4325.138,2.497
4326.135,3.926
4327.13,3.45
4328.128,2.236
4329.124,3.667
4330.12,3.702
4331.118,1.248
4332.114,2.213
4333.113,3.694
4334.11,0.214
4335.11,1.116
4336.107,3.391
4337.107,1.01
4338.104,3.332
4339.103,2.461
4340.103,2.831
4341.102,2.787
4342.103,3.979
4343.102,1.281
4344.103,5.029
4345.103,3.668
4346.102,2.996
4347.104,5.233
4348.104,4.122
4349.107,1.291
4350.107,1.44
4351.11,2.08
4352.111,2.9
4353.113,0.363
4354.117,0.781
4355.118,1.616
4356.123,3.373
4357.125,2.857
4358.129,4.196
4359.132,3.213
4360.135,0.61
4361.14,2.389
4362.144,3.811
4363.149,1.595
4364.153,4.347
4365.159,3.147
4366.164,2.36
4367.168,1.276
4368.175,2.387
4369.18,2.274
4370.188,1.744
4371.193,2.927
4372.201,2.814
4373.207,1.752
4374.213,3.191
4375.221,3.666
4376.228,2.429
4377.237,0.476
4378.244,3.213
4379.253,2.496
4380.261,3.498
4381.269,3.562
4382.279,4.026
4383.287,4.274
4384.298,4.129
4385.307,3.431
4386.318,2.151
4387.327,3.005
4388.336,3.834
4389.348,1.783
4390.358,2.543
4391.37,9.127
4392.38,4.755
4393.394,4.004
4394.404,1.489
4395.415,1.17
4396.429,2.759
4397.44,3.726
4398.454,4.154
4399.466,1.345
4400.48,1.279
4401.493,4.271
4402.505,3.11
4403.521,0.862
4404.534,2.876
4405.549,3.119
4406.562,2.473
4407.579,2.176
4408.593,2.442
4409.607,1.991
4410.624,2.242
4411.639,2.68
4412.656,0.328
4413.671,3.839
4414.688,3.037
4415.704,5.197
4416.723,2.194
4417.739,0.922
4418.755,0.475
4419.774,2.698
4420.791,2.277
4421.81,2.195
4422.827,3.758
4423.847,3.789
4424.865,3.308
4425.883,2.95
4426.903,2.445
4427.922,2.143
4428.943,3.244
4429.962,3.139
4430.983,2.26
4432.002,1.396
4433.022,1.687
4434.044,1.25
4435.064,0.853
4436.087,2.112
4437.108,3.291
4438.131,2.449
4439.152,2.149
4440.173,3.61
4441.197,2.284
4442.219,1.098
4443.243,-0.001
4444.265,1.444
4445.29,2.99
4446.312,1.646
4447.335,1.507
4448.361,3.489
4449.384,2.973
4450.411,1.167
4451.434,2.434
4452.461,1.79
4453.485,2.321
4454.51,4.691
4455.537,4.303
4456.562,3.467
4457.589,2.089
4458.615,1.333
4459.643,1.543
4460.669,1.936
4461.695,3.307
4462.724,3.309
4463.75,2.125
4464.78,3.297
4465.807,3.501
4466.837,1.8
4467.864,3.404
4468.892,3.14
4469.923,1.607
4470.951,2.368
4471.982,4.594
4473.011,2.974
4474.042,1.284
4475.072,1.628
4476.101,1.811
4477.133,2.115
4478.163,3.345
4479.196,2.085
4480.227,0.987
4481.259,1.763
4482.291,0.217
4483.321,2.592
4484.355,1.404
4485.387,2.516
4486.421,1.884
4487.454,3.027
4488.488,3.727
4489.521,3.686
4490.554,1.954
4491.589,1.401
4492.623,4.661
4493.658,3.785
4494.692,4.219
4495.729,3.499
4496.763,2.03
4497.8,3.029
4498.834,5.33
4499.87,1.422
4500.907,2.554
4501.942,3.02
4502.98,3.74
4504.017,3.31
4505.055,3.047
4506.091,3.365
4507.128,1.232
4508.167,3.855
4509.205,2.295
4510.245,3.69
4511.282,0.991
4512.322,4.827
4513.36,1.802
4514.398,2.751
4515.439,3.446
4516.479,3.49
4517.52,5.438
4518.559,2.043
4519.601,-0.644
4520.641,4.879
4521.681,5.828
4522.724,4.227
4523.764,4.458
4524.807,4.119
4525.848,3.814
4526.892,2.077
4527.933,2.358
4528.975,4.578
4530.019,4.121
4531.061,3.593
4532.106,2.402
4533.149,3.581
4534.194,4.798
4535.237,3.18
4536.28,2.861
4537.327,3.934
4538.37,2.945
4539.417,4.368
4540.461,1.499
4541.508,4.148
4542.553,4.496
4543.598,5.833
4544.646,4.389
4545.691,3.91
4546.739,1.21
4547.785,1.131
4548.834,3.442
4549.88,4.541
4550.927,4.424
4551.977,3.841
4553.024,5.534
4554.074,5.177
4555.122,2.672
4556.172,2.257
4557.22,4.341
4558.269,2.405
4559.319,1.648
4560.368,4.023
4561.42,5.083
4562.469,2.696
4563.521,0.689
4564.571,3.759
4565.621,6.057
4566.674,2.493
4567.725,2.517
4568.778,5.535
4569.829,3.082
4570.883,5.181
4571.934,4.27
4572.989,4.812
4574.041,2.804
4575.093,1.91
4576.148,3.23
4577.201,3.388
4578.256,3.455
4579.309,3.95
4580.365,4.297
4581.419,3.672
4582.473,3.542
4583.53,4.262
4584.584,1.724
4585.641,3.406
4586.696,2.311
4587.754,1.513
4588.809,2.854
4589.865,4.495
4590.923,1.704
4591.979,3.748
4593.039,1.933
4594.095,3.251
4595.154,5.568
4596.211,4.077
4597.269,3.233
4598.329,4.048
4599.387,2.825
4600.447,2.334
4601.506,4.108
4602.567,2.939
4603.625,3.44
4604.685,3.509
4605.747,4.28
4606.806,3.394
4607.869,2.509
4608.929,2.655
4609.991,3.646
4611.052,3.94
4612.113,3.75
4613.176,4.353
4614.237,4.76
4615.301,5.296
4616.363,6.227
4617.428,4.764
4618.49,5.77
4619.552,2.876
4620.618,3.857
4621.681,5.388
4622.747,4.709
4623.81,4.483
4624.876,4.162
4625.94,3.786
4627.004,2.66
4628.071,3.565
4629.136,3.774
4630.203,4.168
4631.269,4.506
4632.336,3.45
4633.402,3.901
4634.468,2.585
4635.537,2.877
4636.603,4.215
4637.672,4.906
4638.739,2.789
4639.809,2.298
4640.876,2.864
4641.944,2.459
4643.014,2.045
4644.083,1.962
4645.153,2.862
4646.222,2.27
4647.293,4.032
4648.362,4.912
4649.432,3.022
4650.504,3.253
4651.574,4.598
4652.646,4.677
4653.717,4.318
4654.79,0.702
4655.861,1.132
4656.935,3.112
4658.006,4.038
4659.077,4.121
4660.152,3.234
4661.224,3.184
4662.298,4.491
4663.371,3.207
4664.446,3.105
4665.52,2.761
4666.593,2.148
4667.669,3.844
4668.743,3.93
4669.819,3.61
4670.894,6.358
4671.971,1.45
4673.045,2.413
4674.121,3.218
4675.198,4.196
4676.274,2.97
4677.352,2.505
4678.428,4.661
4679.507,2.833
4680.583,2.291
4681.66,4.665
4682.74,4.549
4683.817,4.305
4684.897,5.483
4685.975,5.573
4687.056,5.41
4688.134,5.22
4689.212,4.026
4690.293,3.875
4691.373,5.081
4692.455,4.778
4693.534,1.885
4694.616,4.887
4695.696,3.99
4696.776,2.604
4697.859,3.467
4698.94,1.826
4700.024,4.384
4701.105,3.543
4702.189,3.469
4703.271,3.516
4704.353,2.196
4705.438,3.675
4706.52,4.458
4707.605,2.844
4708.688,3.831
4709.774,3.609
4710.858,5.346
4711.941,3.928
4713.028,3.736
4714.112,3.508
4715.199,5.734
4716.284,1.748
4717.372,4.494
4718.457,4.545
4719.542,3.913
4720.631,2.79
4721.717,2.643
4722.806,4.921
4723.892,3.754
4724.981,3.272
4726.068,5.214
4727.155,2.873
4728.246,3.271
4729.333,4.27
4730.424,0.501
4731.512,2.266
4732.603,-0.204
4733.692,3.604
4734.781,0.833
4735.873,5.409
4736.962,2.34
4738.055,2.915
4739.145,2.511
4740.237,2.235
4741.328,3.399
4742.421,0.023
4743.512,0.63
4744.604,2.575
4745.697,2.38
4746.789,3.056
4747.884,2.571
4748.976,1.129
4750.071,1.139
4751.164,2.029
4752.257,0.357
4753.353,2.174
4754.446,2.126
4755.542,2.568
4756.637,3.151
4757.733,2.559
4758.828,3.494
4759.923,2.704
4761.021,3.608
4762.116,2.595
4763.214,3.262
4764.31,0.911
4765.408,2.579
4766.504,3.834
4767.601,3.58
4768.7,4.684
4769.797,3.409
4770.897,2.478
4771.995,2.365
4773.095,2.949
4774.193,2.671
4775.292,2.009
4776.393,2.383
4777.492,4.076
4778.593,2.018
4779.692,3.591
4780.795,4.188
4781.895,4.2
4782.995,1.402
4784.098,1.524
4785.198,3.043
4786.302,2.29
4787.403,3.568
4788.507,2.798
4789.608,2.579
4790.71,3.788
4791.815,2.437
4792.917,2.323
4794.022,3.277
4795.125,2.083
4796.231,1.846
4797.334,2.685
4798.438,4.147
4799.544,3.085
4800.649,3.369
4801.756,3.516
4802.86,2.429
4803.968,2.704
4805.073,2.787
4806.178,2.91
4807.287,1.714
4808.393,2.301
4809.501,4.928
4810.608,2.305
4811.717,0.919
4812.824,2.352
4813.931,3.403
4815.042,3.806
4816.149,3.807
4817.26,2.904
4818.368,2.849
4819.479,4.466
4820.588,3.139
4821.697,4.109
4822.809,3.469
4823.918,3.663
4825.03,3.569
4826.14,3.095
4827.253,3.326
4828.364,2.886
4829.477,2.503
4830.588,5.598
4831.699,4.343
4832.813,4.418
4833.925,3.318
4835.04,2.905
4836.152,2.705
4837.268,3.976
4838.38,4.197
4839.494,3.742
4840.609,5.27
4841.723,5.795
4842.839,4.709
4843.954,4.092
4845.071,3.408
4846.185,4.896
4847.3,4.671
4848.418,4.868
4849.533,4.782
4850.651,5.34
4851.768,3.143
4852.886,6.059
4854.002,3.499
4855.119,4.12
4856.239,3.92
4857.356,5.296
4858.476,2.924
4859.594,2.581
4860.714,4.11
4861.833,3.413
4862.951,3.872
4864.072,3.792
4865.191,1.624
4866.313,1.377
4867.433,2.318
4868.555,2.099
4869.675,1.885
4870.795,1.906
4871.919,2.17
4873.04,1.764
4874.163,1.431
4875.285,1.605
4876.409,2.877
4877.531,0.857
4878.653,3.76
4879.778,2.229
4880.9,3.176
4882.026,3.19
4883.149,5.105
4884.275,3.792
4885.398,3.008
4886.522,2.501
4887.649,4.543
4888.773,4.584
4889.901,4.511
4891.026,3.902
4892.154,5.71
4893.279,5.031
4894.405,4.143
4895.534,3.967
4896.66,3.632
4897.789,4.599
4898.916,3.465
4900.045,3.612
4901.172,5.537
4902.3,3.099
4903.431,4.106
4904.559,3.29
4905.689,3.141
4906.818,4.346
4907.95,1.869
4909.079,1.603
4910.208,1.384
4911.34,1.791
4912.47,0.812
4913.603,-0.342
4914.733,1.803
4915.867,3.399
4916.998,2.633
4918.131,2.299
4919.263,2.867
4920.395,1.521
4921.529,2.221
4922.661,2.927
4923.796,3.573
4924.929,4.616
4926.065,3.609
4927.198,3.715
4928.332,4.905
4929.468,3.836
4930.602,4.273
4931.739,4.276
4932.874,3.47
4934.011,5.95
4935.146,5.745
4936.281,6.507
4937.419,5.63
4938.556,5.015
4939.694,4.084
4940.831,6.028
4941.97,4.857
4943.107,4.884
4944.244,6.379
4945.384,5.163
4946.522,5.638
4947.663,5.398
4948.801,6.369
4949.942,5.727
4951.081,5.444
4952.22,2.682
4953.362,5.758
4954.501,5.168
4955.644,7.314
4956.784,7.231
4957.927,4.726
4959.067,5.48
4960.208,5.573
4961.352,5.744
4962.493,6.384
4963.638,5.732
4964.779,6.076
4965.924,6.016
4967.067,5.877
4968.209,5.175
4969.355,4.917
4970.498,6.896
4971.645,5.836
4972.788,5.918
4973.935,5.125
4975.079,6.946
4976.224,7.417
4977.371,4.418
4978.516,5.896
4979.664,4.803
4980.81,3.682
4981.958,6.378
4983.104,7.443
4984.251,5.044
4985.4,6.879
4986.547,6.175
4987.697,5.494
4988.844,5.592
4989.995,5.448
4991.143,6.376
4992.291,6.079
4993.442,5.596
4994.591,5.172
4995.743,5.195
4996.892,5.878
4998.044,5.718
4999.194,5.601
5000.344,6.038
5001.497,6.202
5002.647,6.465
5003.801,5.917
5004.952,6.002
5006.106,6.217
5007.258,5.398
5008.413,6.012
5009.565,6.936
5010.717,5.442
5011.873,4.822
5013.026,5.074
5014.182,5.095
5015.335,6.632
5016.492,6.469
5017.646,5.733
5018.8,7.486
5019.958,6.381
5021.112,6.617
5022.27,5.747
5023.426,6.586
5024.584,4.939
5025.74,4.596
5026.896,5.61
5028.055,3.062
5029.212,4.755
5030.372,7.199
5031.529,6.619
5032.689,5.022
5033.847,4.291
5035.005,5.426
5036.166,5.642
5037.325,7.034
5038.486,4.385
5039.646,6.499
5040.808,6.113
5041.967,4.596
5043.127,5.991
5044.29,5.41
5045.45,4.984
5046.614,7.22
5047.775,6.111
5048.939,3.823
5050.1,6.463
5051.262,5.652
5052.427,5.344
5053.589,6.134
5054.754,4.911
5055.917,5.943
5057.083,5.575
5058.247,4.87
5059.41,6.094
5060.577,6.415
5061.741,6.653
5062.908,8.222
5064.073,6.073
5065.241,5.367
5066.406,7.452
5067.572,5.021
5068.74,5.241
5069.906,5.052
5071.075,5.524
5072.242,6.521
5073.412,5.352
5074.579,6.09
5075.746,4.923
5076.917,4.565
5078.084,6.238
5079.255,5.462
5080.424,4.745
5081.596,4.864
5082.765,4.743
5083.934,4.677
5085.106,4.038
5086.276,5.507
5087.449,6.886
5088.619,5.996
5089.792,6.516
5090.963,4.666
5092.135,5.798
5093.309,5.54
5094.48,6.66
5095.655,5.763
5096.828,4.628
5098.003,6.332
5099.176,4.682
5100.352,7.02
5101.525,6.911
5102.699,5.406
5103.875,7.043
5105.049,5.967
5106.227,5.473
5107.401,4.778
5108.579,6.011
5109.754,7.892
5110.93,6.602
5112.108,6.068
5113.284,7.235
5114.463,4.891
5115.64,5.929
5116.82,5.167
5117.997,5.438
5119.174,6.331
5120.354,5.264
5121.533,5.744
5122.713,5.908
5123.892,5.718
5125.074,5.793
5126.252,7.083
5127.432,6.939
5128.614,5.75
5129.794,6.587
5130.977,6.427
5132.157,4.931
5133.341,4.354
5134.522,6.385
5135.703,6.481
5136.887,6.914
5138.069,7.348
5139.254,5.518
5140.436,6.103
5141.622,6.131
5142.804,4.725
5143.987,6.696
5145.174,6.738
5146.357,4.836
5147.544,5.825
5148.728,5.172
5149.916,5.434
5151.1,6.195
5152.285,4.928
5153.473,6.621
5154.659,7.835
5155.848,7.212
5157.034,6.31
5158.223,5.604
5159.41,6.084
5160.596,6.092
5161.786,6.786
5162.974,6.407
5164.165,6.506
5165.353,6.081
5166.543,5.647
5167.732,5.158
5168.921,6.704
5170.113,5.825
5171.302,4.314
5172.495,7.673
5173.685,6.867
5174.878,5.405
5176.068,7.812
5177.259,5.573
5178.453,7.442
5179.644,5.709
5180.838,5.797
5182.03,5.555
5183.225,5.516
5184.417,6.971
5185.61,7.77
5186.806,5.448
5188,5.917
5189.196,5.271
5190.39,5.391
5191.586,4.85
5192.781,6.971
5193.978,7.253
5195.173,7.013
5196.368,6.682
5197.566,6.081
5198.762,5.737
5199.961,5.16
5201.157,4.395
5202.356,6.264
5203.553,5.64
5204.75,4.332
5205.951,5.655
5207.148,6.84
5208.349,6.151
5209.547,7.189
5210.749,8.392
5211.947,6.539
5213.146,6.346
5214.348,5.605
5215.548,5.675
5216.75,6.001
5217.951,6.557
5219.154,6.488
5220.354,7.135
5221.556,7.313
5222.76,7.417
5223.961,5.704
5225.166,7.64
5226.368,7.427
5227.573,4.413
5228.775,7.054
5229.979,6.318
5231.185,5.164
5232.388,6.962
5233.594,5.749
5234.798,4.437
5236.005,5.767
5237.21,6.111
5238.415,6.163
5239.623,6.61
5240.828,6.402
5242.037,5.961
5243.243,4.338
5244.452,6.937
5245.658,6.151
5246.865,6.376
5248.075,4.787
5249.282,6.151
5250.493,6.613
5251.701,6.153
5252.912,6.822
5254.12,6.422
5255.329,7.708
5256.541,6.069
5257.75,7.375
5258.962,6.625
5260.172,7.343
5261.385,8.003
5262.596,5.579
5263.806,6.398
5265.02,5.12
5266.231,6.255
5267.446,7.69
5268.657,7.063
5269.872,6.753
5271.084,5.822
5272.297,6.995
5273.513,6.461
5274.726,6.618
5275.942,4.931
5277.156,7.172
5278.373,6.596
5279.587,6.354
5280.805,7.5
5282.02,7.727
5283.235,6.984
5284.453,7.482
5285.669,7.275
5286.888,7.755
5288.104,6.475
5289.323,7.496
5290.54,5.301
5291.757,4.742
5292.978,6.867
5294.195,6.939
5295.416,5.35
5296.634,6.094
5297.855,6.903
5299.074,5.836
5300.293,7.136
5301.516,6.524
5302.735,6.466
5303.958,6.53
5305.178,6.478
5306.401,5.599
5307.622,6.448
5308.843,6.07
5310.067,5.48
5311.289,6.414
5312.514,5.52
5313.736,4.771
5314.961,6.341
5316.184,5.873
5317.407,5.58
5318.633,5.938
5319.857,5.484
5321.083,4.779
5322.308,4.634
5323.535,4.352
5324.76,5.699
5325.984,5.459
5327.213,4.757
5328.438,3.393
5329.667,4.932
5330.893,5.56
5332.122,4.071
5333.349,5.863
5334.576,5.876
5335.806,4.593
5337.034,4.492
5338.264,5.62
5339.492,3.509
5340.724,7.004
5341.952,6.553
5343.181,5.88
5344.413,6.232
5345.643,7.455
5346.875,6.972
5348.105,7.003
5349.339,6.811
5350.569,7.194
5351.8,6.504
5353.034,7.486
5354.266,7.136
5355.5,5.833
5356.732,5.482
5357.968,6.405
5359.2,7.736
5360.433,6.615
5361.669,6.608
5362.903,6.184
5364.139,8.058
5365.374,7.571
5366.611,8.812
5367.845,8.477
5369.08,5.369
5370.318,8.136
5371.554,6
5372.792,5.608
5374.028,5.609
5375.268,6.456
5376.504,6.186
5377.744,6.648
5378.981,7.554
5380.218,5.681
5381.459,7.432
5382.697,7.625
5383.938,7.687
5385.177,7.657
5386.419,6.809
5387.658,8.524
5388.897,8.54
5390.14,6.832
5391.38,7.217
5392.623,9.119
5393.864,7.854
5395.107,6.626
5396.349,6.344
5397.59,7.843
5398.835,7.232
5400.077,7.603
5401.322,8.386
5402.564,7.053
5403.811,6.993
5405.054,8.693
5406.297,8.231
5407.544,7.464
